District in Greater Cairo where you live,Which day of the week (Step III) are you filling the information for?,"How many HOURS did you spend at HOME/DORM today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at HOME/DORM (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at HOME/DORM (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at HOME/DORM (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption for Washing Dishes by hand during the time you spent at HOME/DORM (7.57 liters per min). 
Please insert your answer in real numbers","Water consumption for Washing dishes in a Dish Washing Machine during the time you spent at HOME/DORM (15 liters per load/cycle). 
Please insert your answer in real numbers","Water consumption during Watering Plants during the time you spent at HOME/DORM (can vary widely but try to estimate the average amount of time water is poured).
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at HOME/DORM (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","How many HOURS did you spend at UNIVERSITY today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at THE UNIVERSITY (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at the UNIVERSITY (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at the UNIVERSITY (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at the UNIVERSITY (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","Can you tell us about the type of OTHER PLACES you are filling the information for (restaurent? club? hanging around?, etc.)","How many HOURS did you spend at OTHER PLACES today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at OTHER PLACES (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at OTHER PLACES (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at OTHER PLACES (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at OTHER PLACES (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","Water consumption for Washing Dishes in a Dish Washing Machine during the time you spent at OTHER PLACES (15 liters per load/cycle). 
Please insert your answer in real numbers","Water consumption for Washing Dishes by hand during the time you spent at OTHER PLACES (7.57 liters per min). 
Please insert your answer in real numbers",
"Hada'iq al-Qubbah  , حدائق القبة","Monday, October 30th 2023",9.5,189.2,9.828,11.35,0,0,0,0.2,12,0,22.7,12.663,1.5,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",15,81.356,9.828,56.75,9.084,0,0,4.2,9,0,22.7,1.9,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",17,198.66,9.828,22.7,0,0,0,1.8,7,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Monday, October 30th 2023",12,94.7,10,22.8,0,0,0,1.2,6,0,0,4,0.6,restaurant ,1,0,8,22,0.6,0,0,
AUC Dorm,"Tuesday, October 31st 2023",12,0,10,34.05,42,0,0,0,12,0,11.35,2.079,0,N/A ,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",9,24,10,30.7,0,0,0,2.2,5,0,22.7,10,0.6,N/A,0,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Wednesday, November 1st 2023",7.5,91.13133,10.08,45.4,0,0,0,1.2,5,0,22.7,1.512,0.6,gym,3,0,0.882,11.35,1.8,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",8,141.9,10.08,44.35,5.05,15,0,2.4,4,0,0,0,0,Gym,1.5,0,3.78,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",17,0,10.21,22.7,30.28,0,0,1.06,7,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",16,113.52,10.296,22.7,0,0,0,1.2,8,0,11.35,2.079,0.6,N/A,0,0,0,0,0,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Tuesday, October 31st 2023",24,0,10.58,51.08,0,0,0,1.1,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",3,14.19,10.584,34.05,0,0,0,0.46,5,0,0,0,0.6,restaurant ,3,0,2.646,0,0.23,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",21,75.68,10.6,22.7,24.67,0,0,1.6,0,0,0,0,0,my friends house,3,0,0,0,0.5,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",13.5,122.98,10.6,34.05,75.7,0,0,2.4,4,0,0,2.6,1.2,N/A,0,0,0,0,0,0,0,
"Az-Zamālik [Zamalek] , الزمالك","Thursday, November 2nd 2023",24,151.36,10.647,34.05,0,0,0,2.4,0,0,0,0,0,N/A ,0,0,0,0,0,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Sunday, October 29th 2023",18,160.82,10.84,34.05,0,0,0,0.9,5,0,11.35,0.945,0.1,N/A,0,0,0,0,0,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Thursday, November 2nd 2023",12,33.11,10.962,56.75,0,15,0,1.5,6,0,0,0,1.5,N/A,0,0,0,0,1.5,0,0,
"Al-'Ubūr [El Ubour] , العبور","Sunday, October 29th 2023",11,93.02,11.025,56.75,0,0,0,1.3,4.5,0,22.7,2.835,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",12,141.9,11.25,22.7,0,15,0,1.2,12,0,11.35,7.56,1.2,0,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",21,0,11.277,45.4,0,0,0,1.2,3,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",19,473,11.3,45.4,0,0,0,2,0,0,0,0,0,friend's house,5,0,2,11.35,0.6,0,151,
"Al-Ma'ādī [Maadi] , المعادي","Tuesday, October 31st 2023",5,75.68,11.34,34.05,22.71,15,0,1.8,0,0,0,0,0,hanging around,8,0,7.56,11.35,1.66,0,7.57,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",18,47.3,11.34,45.4,0,0,0,2,0,0,0,0,0,Restaurant,3,0,7,0,0.6,0,7.56,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",12,0,11.34,11.35,0,0,0,1.12,0,0,0,0,0,My cousins house ,12,0,11.34,11.35,2.4,0,0,
"Ash-Shurūq , الشروق","Wednesday, November 1st 2023",16,0,11.34,22.7,0,0,0,1.2,0,0,0,0,0,hanging around,7.5,0,3.78,11.35,2.4,0,0,
"Al-Jīzah [Giza] , الجيزة","Thursday, November 2nd 2023",10,104.06,11.34,22.7,0,0,0,0.6,6,0,11.35,5.67,0.6,restaurant in Garden 8 and hanging around,8,0,3.78,0,2.4,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Thursday, November 2nd 2023",3,47.3,11.34,22.7,0,15,0,1.2,4,0,0,3.78,0.6,hanging around / restaurant,6,0,7.56,22.7,1.8,0,0,
"Al-Muqaṭṭam , المقطم","Tuesday, October 31st 2023",8,141.9,11.34,45.4,0,15,0,1.2,0,0,0,0,0,Gym,2,0,3.78,11.35,1.5,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",9,0,11.34,22.7,0,0,0,0.6,4,0,0,0,0.3,friends home,6,0,11.34,45.4,1.2,0,0,
"Al-Jīzah [Giza] , الجيزة","Wednesday, November 1st 2023",13,283.8,11.34,34.05,0,0,0,1.8,7,0,22.7,11.34,1.2,club,4,0,11.34,22.7,1.2,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Tuesday, October 31st 2023",16,141.9,11.34,34.05,0,0,0,2,0,0,0,0,0,"restaurant, gym, hanging arround",8,0,7.56,11.35,1.2,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",16,0,11.34,34.05,0,0,0,2.4,0,0,0,0,0,Restaurant ,4,0,7.56,11.35,1.2,0,0,
"Ash-Shurūq , الشروق","Thursday, November 2nd 2023",14,0,11.34,22.7,0,0,0,1.2,4,0,0,1.89,0.6,gym,3,0,3.78,0,1.2,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Monday, October 30th 2023",5,85.14,11.34,68.1,0,15,0,4.2,4,0,11.35,3.78,0.6,Club,3,0,3.78,0,1.2,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",14,0,11.34,22.7,0,0,0,0,2,0,0,0,0,Gym ,2,0,0,0,1.2,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Sunday, October 29th 2023",12,94.6,11.34,22.7,0,0,0,1.8,8,0,11.35,0,0.6,"gym, hanging around",4,0,3.78,11.35,1,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Monday, October 30th 2023",12,85.14,11.34,22.7,0,0,0,1.46,10,0,22.7,0,1.2,gym,2,0,3.78,11.35,1,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",12,66.22,11.34,22.7,0,0,0,0.7,7,0,0,1.89,0.6,hanging around,5,0,0,0,1,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Thursday, November 2nd 2023",4,0,11.34,34.05,0,0,0,0.83,5,0,11.35,3.78,1.29,mall,7,0,3.78,11.35,0.83,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Monday, October 30th 2023",16,94.6,11.34,34.05,0,0,0,1.5,3,0,11.35,1.89,0.6,restaurent/gym,5,0,1.89,11.35,0.83,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",7,94.6,11.34,22.72,0,0,0,1.2,7,0,34.05,11.34,0.6,hanging out,6,0,11.34,11.35,0.6,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Monday, October 30th 2023",5,113.52,11.34,22.7,0,9,0,1.69,7,0,11.35,7.56,1.29,The mall,4,0,3.78,11.35,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",20,113.52,11.34,45.5,37.85,30,0,3,0,0,0,0,0,Restaurant ,4,0,3.78,11.35,0.6,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Wednesday, November 1st 2023",21,94.6,11.34,45.4,0,0,0,1.8,0,0,0,0,0,restaurant,3,0,7.56,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",15,56.67,11.34,45.4,75.7,0,0,1.15,7,0,11.35,7.56,0.6,mall,2,0,3.78,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",12,0,11.34,56.57,0,0,0,1,8,0,22.7,11.34,1.2,Friend’s house,4,0,2.67,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",10,85.14,11.34,45.4,0,15,0,3,0,0,0,0,0,Gym and hangout,4,0,1.89,0,0.6,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Monday, October 30th 2023",16,0,11.34,22.7,0,0,0,0.6,2,0,0,0,0.3,Mall,6,0,0,0,0.6,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Monday, October 30th 2023",15,132.44,11.34,22.7,0,0,0,1.2,5,0,11.35,3.78,0.6,Restaurant ,4,0,0,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",13,94.6,11.34,34.05,0,0,0,1,7,0,11.35,7.56,1.2,hanging around,4,0,0,0,0.6,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Thursday, November 2nd 2023",15,151.36,11.34,22.7,0,0,0,2.4,5,0,11.35,3.78,0.6,Friend’s house,4,0,0,0,0.6,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Monday, October 30th 2023",9.5,104.06,11.34,30.28,0,15,0,0.23,6,0,11.35,0.529,0,Club ,2,0,0,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",12,104.06,11.34,34.05,0,0,0,1.8,6,0,22.7,4.563,1.2,club,2,0,0,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",3,47.3,11.34,11.35,0,0,0,0.23,9,0,11.35,7.56,0.6,restaurant ,5,0,0,0,0.46,0,0,
AUC Dorm,"Tuesday, October 31st 2023",18,37.48,11.34,34.05,0,0,0,1,0,0,0,0,0,Hanging around ,6,0,1.89,11.35,0.4,0,0,
"Miṣr al-Qadīmah [Old Cairo] , مصر القديمة","Wednesday, November 1st 2023",6,0,11.34,22.7,0,0,0,0.5,6,94.6,34.05,15.12,0.6,funeral,1,0,0,0,0.4,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Thursday, November 2nd 2023",17,0,11.34,22.7,0,0,0,1.5,3,0,11.35,0.945,0.6,hanging around,2,0,0,0,0.33,0,0,
"Ash-Shurūq , الشروق","Wednesday, November 1st 2023",11,0,11.34,22.7,0,0,0,0.5,5.5,0,0,5.67,0.5,"Hair salon , hanging out",6.5,0,7.56,11.35,0.3,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",16,113.5,11.34,45.4,0,0,0,1,7,0,11.35,7.56,1.2,Hospital,1,0,2.4,0,0.3,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",16,0,11.34,45.4,0,0,0,0.23,4,0,0,0,0,Hanging around,3,0,0,0,0.3,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",17.5,47.3,11.34,22.7,0,0,0,0.6,4,0,0,0,0.3,gym,1,0,0,0,0.3,0,0,
"Ash-Shurūq , الشروق","Wednesday, November 1st 2023",12,0,11.34,22.7,0,0,0,0.23,6,0,0,7.56,0.6,friends house ,5,0,7.56,11.35,0.23,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Tuesday, October 31st 2023",6,141.9,11.34,34.05,0,0,0,0.6,0,0,0,0,0,restaurant and hanging around,6,0,3.78,11.35,0.23,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",3,236.5,11.34,22.7,0,0,0,1.2,8,0,11.35,3.78,0.6,Restaurant ,3,0,3.78,0,0.23,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Wednesday, November 1st 2023",5,0,11.34,34.05,0,0,0,0.6,4,0,0,0,0.6,restaurent,4,0,1.89,0,0.23,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",20,132,11.34,68.1,0,0,0,1,0,0,0,0,0,Cousin's house,4,0,1.89,0,0.23,0,0,
"Al-Muqaṭṭam , المقطم","Thursday, November 2nd 2023",12,245.96,11.34,34.05,0,0,0,1.2,6,0,0,0,0.6,Hanging around,6,0,0.819,0,0.23,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",15,0,11.34,22.7,0,0,0,1,4,0,0,0.756,0.6,restaurant ,3,0,0.756,0,0.23,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",14,28.38,11.34,34.05,0,0,0,0.3,5,0,11.35,1,0,resturant,5,0,1,11.35,0.2,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Tuesday, October 31st 2023",14,0,11.34,11.35,0,0,0,0.4,5,0,11.35,7.56,0.6,hanging around,5,0,0,0,0.2,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Thursday, November 2nd 2023",13,236.5,11.34,22.7,75.7,15,0,0.3,10,0,22.7,11.34,1,restaurant,1,0,0,0,0.2,0,0,
AUC Dorm,"Tuesday, October 31st 2023",9,141.9,11.34,11.35,0,0,0,1.2,8,0,11.35,7.56,0,hanging around,7,0,7.56,11.35,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",8,66.22,11.34,22.7,0,15,4000,0.23,0,0,0,0,0,Friend's House,6,0,3.78,11.35,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",17,0,11.34,45.4,0,0,0,1.15,5,0,0,0,0.23,Grandfather’s house,1,0,3.78,11.35,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",3,47.3,11.34,22.7,0,0,0,3,8,0,34.05,7.56,3,cafe,2,0,0,11.35,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",13,141.9,11.34,34.05,0,0,0,2,5,0,0,0,0.6,Mall,3,0,3.78,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",12,94.6,11.34,11.35,0,0,0,0,0,0,0,0,0,school visit,6,0,0,0,0,0,0,
AUC Dorm,"Thursday, November 2nd 2023",5,18.92,11.34,34.05,3.785,0,0,1.5,3,0,0,0,0.3,restaurant,6,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",16,113.52,11.34,45.4,0,0,0,0.23,2.75,0,0,1.89,0.3,Hanging around,5.5,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",22.5,113.52,11.34,45.4,0,0,15 minutes ,1.2,0,0,0,0,0,mall,1.3,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",16,0,11.34,11.35,7.57,0,0,0.8,7,0,0,0,0,supermarket,1,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Sunday, October 29th 2023",22.5,283.8,11.34,34.05,0,0,0,2,1.5,0,0,3.78,0.7,N/A ,0,0,0,0,0,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Sunday, October 29th 2023",16,122.9,11.34,22.7,0,15,0,3.2,8,0,0,3.78,0.6,N/A ,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",20,104.06,11.34,45.4,0,0,0,1.2,3,0,0,1.89,0,N/A ,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",17,94.6,11.34,34.05,0,0,0,1.8,7,0,0,0,0,N/A ,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",18,0,11.34,45.4,0,0,0,1.2,6,0,0,0,0,N/A ,0,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Tuesday, October 31st 2023",24,141.9,11.34,45.4,0,0,0,2,0,0,0,0,0,N/A ,0,0,0,0,0,0,0,
"Al-Jīzah [Giza] , الجيزة","Thursday, November 2nd 2023",12,236.5,11.34,34.05,0,0,0,1.8,12,0,22.7,15.12,2.4,N/A,0,0,0,0,0,0,0,
"Al-'Ubūr [El Ubour] , العبور","Thursday, November 2nd 2023",5,189.2,11.34,11.35,0,0,0,1.8,7,0,11.35,15.12,2.4,N/A,0,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Monday, October 30th 2023",8,47.3,11.34,22.7,22.71,0,0,2.4,6,0,11.35,11.34,2.4,N/A,0,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Sunday, October 29th 2023",8,47.3,11.34,22.7,0,0,0,2.4,6,0,0,11.34,2.4,N/A,0,0,0,0,0,0,0,
"Ash-Shurūq , الشروق","Wednesday, November 1st 2023",17,141.9,11.34,34.05,0,15,0,3,7,0,11.35,3.78,2,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",9,141.9,11.34,11.35,0,0,0,0.6,15,0,34.05,22.68,1.8,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",6,18.92,11.34,56.75,0,0,0,2,5,0,34.05,7.56,1.8,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",12,189.2,11.34,22.7,0,0,0,1.2,11,0,22.7,7.56,1.8,N/A,0,0,0,0,0,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Monday, October 30th 2023",5,47.3,11.34,34.05,0,15,0,3,7,0,34.05,11.34,1.5,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",20,189.2,11.34,34.05,45.42,15,0,3,4,0,11.35,3.78,1.5,N/A,0,0,0,0,0,0,0,
"Al-Muqaṭṭam , المقطم","Monday, October 30th 2023",16,9.46,11.34,34.05,0,0,0,2.63,8,0,22.7,7.56,1.2,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",5,0,11.34,11.35,0,0,0,1.2,8,0,22.7,7.56,1.2,N/A,0,0,0,0,0,0,0,
"Al-Muqaṭṭam , المقطم","Sunday, October 29th 2023",15,198.66,11.34,56.75,0,0,0,3,9,0,11.35,3.78,1.2,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",20,0,11.34,56.75,0,0,0,0.6,4,0,11.35,3.2,1.2,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",17,94.6,11.34,34.05,0,45,0,1.2,7,0,0,0.76,1.2,n/a,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",19,141.9,11.34,34.05,0,45,0,1.2,5,0,0,0.76,1.2,n/a,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",12,28.38,11.34,45.4,0,0,0,2,8,28.38,34.05,11.34,1,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",14,94.6,11.34,11.35,0,0,0,0.6,8,0,11.35,1.512,1,N/A,0,0,0,0,0,0,0,
AUC Dorm,"Monday, October 30th 2023",5,0,11.34,11.35,52.99,0,0,1,4,0,0,0,1,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",8,94.6,11.34,22.7,0,0,0,0.6,10,0,11.35,7.56,0.9,N/A,0,0,0,0,0,0,0,
"Ash-Shurūq , الشروق","Monday, October 30th 2023",8,104.06,11.34,11.35,0,0,0,0,15,0,0,11.34,0.69,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",14,9.5,11.34,34,0,0,0,0.6,10,0,45,15,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",13,47.3,11.34,45.4,0,0,0,1.5,11,0,45.4,11.34,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",17,0,11.34,34.05,22.71,0,0,0.5,7,0,34.05,7.56,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",17,66.22,11.34,56.75,0,0,0,1.5,7,0,22.7,7.56,0.6,N/A,0,0,0,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Thursday, November 2nd 2023",6,0,11.34,22.7,30.28,0,0,1.2,6,0,22.7,7.56,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",10,0,11.34,56.75,0,0,0,1.8,5,0,22.7,7.56,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",14.5,0,11.34,22.7,0,0,0,0,9.5,0,34.05,3.78,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",12,94.6,11.34,11.35,0,0,0,1.2,12,0,11.35,3.78,0.6,N/A,0,0,0,0,0,0,0,
"Ash-Shurūq , الشروق","Thursday, November 2nd 2023",16,47.3,11.34,34.05,0,0,0,3,8,0,11.35,3.78,0.6,N/A,0,0,0,0,0,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Sunday, October 29th 2023",18,170.28,11.34,34.05,0,0,0,2.4,6,0,11.35,3.78,0.6,N/A,0,0,0,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Monday, October 30th 2023",8,94.6,11.34,11.35,0,15,0,0.6,7,0,0,3.78,0.6,N/A,0,0,0,0,0,0,0,
"Al-'Ajūzah , العجوزة","Thursday, November 2nd 2023",20,66.22,11.34,45.4,0,0,0,4,4,0,11.35,3.15,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",9.25,56.76,11.34,22.7,0,0,0,1.5,5.25,0,11.35,1.89,0.6,N/A,0,0,0,0,0,0,0,
